Trip_id,Start_Date,End_Date,Number_Of_Travellers,preferences,User_id,created_at,Destination,Required_Activity_IDS,Excluded_Activity_Ids,Preference_Scores
108,2026-06-06,2026-06-19,1,RELAXATION,51,2025-12-07 18:50:41.443477+00,South Africa,"12,15,23","24,20","{""CULTURE"": 3, ""ADVENTURE"": 2, ""RELAXATION"": 5, ""NATURE"": 5}"
109,2025-12-08,2025-12-26,2,CULTURE,52,2025-12-08 09:55:54.880084+00,South Africa,"10,17,22",21,"{""CULTURE"": 4, ""ADVENTURE"": 2, ""RELAXATION"": 4, ""NATURE"": 4}"
110,2025-12-07,2025-12-26,1,ADVENTURE,52,2025-12-08 10:03:18.775365+00,Morocco,"49,47",42,"{""CULTURE"": 1, ""ADVENTURE"": 5, ""RELAXATION"": 1, ""NATURE"": 5}"
111,2025-12-23,2025-12-30,1,NATURE,10,2025-12-08 11:06:40.587187+00,South Africa,10,11,"{""CULTURE"": 4, ""ADVENTURE"": 2, ""RELAXATION"": 1, ""NATURE"": 5}"
115,2025-12-14,2025-12-26,1,CULTURE,9,2025-12-08 13:50:22.70841+00,South Africa,,,"{""CULTURE"": 3, ""ADVENTURE"": 3, ""RELAXATION"": 3, ""NATURE"": 3}"
116,2025-12-21,2026-01-07,1,RELAXATION,47,2025-12-08 12:51:13.760466+00,South Africa,"10,11,12,13,15,16,17,18,19,20,21,24","14,23,22","{""CULTURE"": 2, ""ADVENTURE"": 2, ""RELAXATION"": 5, ""NATURE"": 3}"
117,2026-03-01,2026-03-09,2,RELAXATION,53,2025-12-08 13:10:58.663172+00,South Africa,"11,12",16,"{""CULTURE"": 1, ""ADVENTURE"": 4, ""RELAXATION"": 5, ""NATURE"": 5}"
126,2025-12-15,2025-12-22,1,CULTURE,4,2025-12-09 11:50:12.222957+00,South Africa,,,"{""CULTURE"": 3, ""ADVENTURE"": 3, ""RELAXATION"": 3, ""NATURE"": 3}"
127,2026-02-14,2026-02-19,1,RELAXATION,54,2025-12-09 14:21:52.66435+00,South Africa,"13,59",11,"{""CULTURE"": 4, ""ADVENTURE"": 2, ""RELAXATION"": 5, ""NATURE"": 3}"
128,2025-12-20,2026-01-23,1,CULTURE,55,2025-12-09 14:59:19.397644+00,South Africa,,,"{""CULTURE"": 3, ""ADVENTURE"": 3, ""RELAXATION"": 3, ""NATURE"": 3}"
129,2025-12-15,2025-12-22,1,CULTURE,56,2025-12-09 15:45:31.047159+00,Morocco,,,"{""CULTURE"": 3, ""ADVENTURE"": 3, ""RELAXATION"": 3, ""NATURE"": 3}"
130,2025-12-29,2026-01-05,2,CULTURE,10,2025-12-09 17:30:47.068798+00,South Africa,24,22,"{""CULTURE"": 3, ""ADVENTURE"": 3, ""RELAXATION"": 3, ""NATURE"": 3}"
132,2025-12-17,2025-12-24,2,CULTURE,4,2025-12-09 18:12:17.627898+00,South Africa,,,"{""CULTURE"": 3, ""ADVENTURE"": 3, ""RELAXATION"": 3, ""NATURE"": 3}"
133,2025-12-15,2025-12-23,1,CULTURE,4,2025-12-09 19:09:26.504176+00,South Africa,,,"{""CULTURE"": 3, ""ADVENTURE"": 3, ""RELAXATION"": 3, ""NATURE"": 3}"
134,2025-12-15,2025-12-30,1,CULTURE,4,2025-12-09 19:12:40.639982+00,South Africa,,19,"{""CULTURE"": 3, ""ADVENTURE"": 3, ""RELAXATION"": 3, ""NATURE"": 3}"
135,2026-07-04,2026-07-10,3,CULTURE,57,2025-12-09 19:06:54.931871+00,Morocco,"47,48","45,49","{""CULTURE"": 5, ""ADVENTURE"": 2, ""RELAXATION"": 4, ""NATURE"": 5}"
136,2025-12-10,2025-12-17,1,CULTURE,1,2025-12-10 07:58:47.552917+00,South Africa,,,"{""CULTURE"": 5, ""ADVENTURE"": 2, ""RELAXATION"": 4, ""NATURE"": 1}"
137,2025-12-10,2025-12-17,1,CULTURE,1,2025-12-10 09:18:51.535755+00,South Africa,,,"{""CULTURE"": 3, ""ADVENTURE"": 3, ""RELAXATION"": 3, ""NATURE"": 3}"
138,2025-12-09,2025-12-17,1,CULTURE,4,2025-12-10 10:17:47.259702+00,South Africa,18,,"{""CULTURE"": 3, ""ADVENTURE"": 3, ""RELAXATION"": 3, ""NATURE"": 3}"
139,2025-12-16,2025-12-30,1,CULTURE,4,2025-12-10 10:48:56.590057+00,Morocco,,,"{""CULTURE"": 3, ""ADVENTURE"": 3, ""RELAXATION"": 3, ""NATURE"": 3}"
140,2025-12-24,2025-12-30,1,ADVENTURE,10,2025-12-10 09:53:25.82305+00,Morocco,54,56,"{""CULTURE"": 1, ""ADVENTURE"": 5, ""RELAXATION"": 2, ""NATURE"": 5}"
141,2025-12-16,2025-12-23,1,CULTURE,4,2025-12-10 10:54:17.838371+00,South Africa,,,"{""CULTURE"": 3, ""ADVENTURE"": 3, ""RELAXATION"": 3, ""NATURE"": 3}"
142,2025-12-16,2025-12-23,1,CULTURE,4,2025-12-10 10:55:03.811223+00,South Africa,,,"{""CULTURE"": 3, ""ADVENTURE"": 3, ""RELAXATION"": 3, ""NATURE"": 3}"
143,2026-01-10,2026-01-22,1,CULTURE,4,2025-12-10 10:57:51.593496+00,South Africa,,,"{""CULTURE"": 3, ""ADVENTURE"": 3, ""RELAXATION"": 3, ""NATURE"": 3}"
144,2025-12-16,2026-01-04,1,CULTURE,4,2025-12-10 11:03:56.82415+00,Morocco,"51,52","45,44","{""CULTURE"": 3, ""ADVENTURE"": 3, ""RELAXATION"": 3, ""NATURE"": 3}"
145,2025-12-16,2025-12-30,1,CULTURE,4,2025-12-10 11:08:07.603804+00,South Africa,"11,13",12,"{""CULTURE"": 4, ""ADVENTURE"": 2, ""RELAXATION"": 4, ""NATURE"": 4}"
146,2025-12-16,2025-12-23,1,ADVENTURE,4,2025-12-10 11:10:03.436686+00,South Africa,,,"{""CULTURE"": 2, ""ADVENTURE"": 4, ""RELAXATION"": 2, ""NATURE"": 4}"
147,2025-12-16,2025-12-30,1,CULTURE,4,2025-12-10 11:11:34.402551+00,South Africa,"10,13,15","12,19","{""CULTURE"": 5, ""ADVENTURE"": 4, ""RELAXATION"": 4, ""NATURE"": 2}"
148,2025-12-16,2025-12-30,2,ADVENTURE,4,2025-12-10 11:12:46.512672+00,South Africa,18,,"{""CULTURE"": 4, ""ADVENTURE"": 5, ""RELAXATION"": 5, ""NATURE"": 4}"
149,2025-12-16,2025-12-23,2,NATURE,4,2025-12-10 11:22:45.935933+00,South Africa,"11,18",,"{""CULTURE"": 4, ""ADVENTURE"": 2, ""RELAXATION"": 4, ""NATURE"": 5}"
150,2025-12-16,2025-12-23,2,CULTURE,4,2025-12-10 11:26:12.297157+00,South Africa,,,"{""CULTURE"": 3, ""ADVENTURE"": 3, ""RELAXATION"": 3, ""NATURE"": 3}"
152,2025-12-17,2025-12-24,1,CULTURE,4,2025-12-11 15:57:08.696504+00,South Africa,24,23,"{""CULTURE"": 3, ""ADVENTURE"": 3, ""RELAXATION"": 3, ""NATURE"": 3}"
153,2025-12-17,2025-12-29,1,RELAXATION,4,2025-12-11 15:59:31.064673+00,Morocco,"45,52","44,48","{""CULTURE"": 2, ""ADVENTURE"": 4, ""RELAXATION"": 5, ""NATURE"": 4}"
154,2025-12-10,2026-01-21,2,CULTURE,4,2025-12-11 16:09:39.829503+00,Morocco,,42,"{""CULTURE"": 1, ""ADVENTURE"": 1, ""RELAXATION"": 1, ""NATURE"": 1}"
155,2026-01-05,2026-01-12,1,ADVENTURE,4,2025-12-11 15:27:17.876252+00,Morocco,54,,"{""CULTURE"": 2, ""ADVENTURE"": 5, ""RELAXATION"": 2, ""NATURE"": 4}"
156,2025-12-17,2025-12-24,1,CULTURE,4,2025-12-11 16:44:44.053036+00,South Africa,18,,"{""CULTURE"": 3, ""ADVENTURE"": 3, ""RELAXATION"": 3, ""NATURE"": 3}"
157,2026-01-12,2026-01-19,1,ADVENTURE,4,2025-12-11 17:55:13.526368+00,Morocco,"53,46",,"{""CULTURE"": 4, ""ADVENTURE"": 5, ""RELAXATION"": 2, ""NATURE"": 4}"
